fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
43,1012347,1006950015,4517.89317,36935.52211,0.12232,2001,850090,168.13,2100,8,Good,at least some green roof,1,0,0,classification,527 WEST 23 STREET,MN,,C6-3A,WCH,0,-74.00533,40.74864
44,1087848,1000167519,4277.82474,14749.3669,0.29003,2008,1112282,230.13792,2100,16,Good,,1,1,0,Visual - pre-classification,300 NORTH END AVENUE,MN,X,BPC,BPC,0,-74.01429,40.7166
45,1087782,1015997502,4237.16053,51609.6519,0.0821,2006,1106436,143.18311,2100,22,Good,,1,1,0,Visual - pre-classification,40 WEST 116 STREET,MN,,C4-5X,,0,-73.94842,40.80101
46,1088463,1015147502,1358.93825,30570.36384,0.04445,2007,1109575,222.06194,2100,83,Good,,1,0,0,classification,150 EAST 86 STREET,MN,,C5-1A,,0,-73.95527,40.77893
47,2097176,2025390002,6643.99713,13488.75081,0.49256,1934,62208,41.02007,2100,6,Good,,1,0,0,classification,MAJ WM DEEGAN BLVD,BX,C,M2-1,HRW,0,-73.9315,40.82441
48,1031181,1011960029,603.44243,15623.95368,0.03862,1926,750505,203.75119,2100,97,Good,,1,0,0,classification,225 CENTRAL PARK WEST,MN,,R10A,,0,-73.9713,40.78298
49,1041637,1013890001,837.53225,12549.97811,0.06674,1940,120983,210.49,2100,63,Good,,1,0,0,classification,930 5 AVENUE,MN,,R10,PI,0,-73.96563,40.77381
50,1010595,1006070060,133.46125,1233.96436,0.10816,1910,60677,55.13,2100,23,Good,,1,0,0,classification,129 WEST 11 STREET,MN,,R6,,0,-73.99939,40.73606
51,2001565,2023870035,1445.95475,11745.58295,0.12311,1899,128470,32.57,2100,29,Good,,1,0,0,classification,1079 WASHINGTON AVENUE,BX,P,M1-1/R7-2,MX-7,0,-73.90918,40.82825
52,1081034,1011637503,2103.64523,14160.30702,0.14856,2008,1114356,240.99532,2100,73,Good,,1,0,0,classification,200 WEST 72 STREET,MN,,C4-6A,,0,-73.98248,40.77862
53,1041673,1013890069,514.28221,5127.10378,0.10031,1955,26025,173.1,2100,65,Good,,1,0,0,classification,936 5 AVENUE,MN,,R10,PI,0,-73.96542,40.7742
54,1078811,1009247501,800.88618,2197.37991,0.36447,1910,448315,54.75,2100,20,Good,,1,0,0,classification,302 EAST 19 STREET,MN,,R9A,,0,-73.98253,40.73523
55,1083844,1011300001,6416.03608,62987.49145,0.10186,1998,1001216,80.43,2100,99,Good,,1,0,0,classification,200 CENTRAL PARK WEST,MN,C,PARK,,0,-73.97376,40.78174
56,1087494,1005947505,742.96096,8645.27566,0.08594,2005,995640,136.32,2100,9,Good,,1,0,0,classification,255 HUDSON STREET,MN,,C6-2A,,0,-74.00815,40.72465
57,1083211,1013730001,4160.07098,177959.3069,0.02338,1975,146525,71.18,5110,12,Good,,1,0,0,classification,40 RIVER ROAD,MN,C,R7-2,SRI,0,-73.94739,40.76373
58,2086088,2059250325,1794.57438,3370.4728,0.53244,1960,43764,28.7535,2100,152,Good,,1,0,0,classification,4690 HADLEY AVENUE,BX,,R1-1,NA-2,0,-73.91392,40.89442
59,1015535,1008230041,1535.04209,2776.80321,0.55281,1910,833876,64.15,2100,39,Good,,0,1,0,DEP,164 5 AVENUE,MN,P,C6-4M,,0,-73.99065,40.74065
60,3330272,3004590024,3303.5258,10912.9343,0.30272,2011,1115846,96.49077,2100,53,Good,,1,1,0,greenroofs.com,360 SMITH STREET,BK,P,R6B,,0,-73.9958,40.6794
61,1088438,1018527502,5268.15774,22732.56068,0.23175,2008,1025316,183.18716,2100,96,Good,,1,0,0,classification,801 AMSTERDAM AVENUE,MN,,R7-2,,0,-73.96863,40.79603
62,1014731,1007950037,411.71793,10791.48166,0.03815,1901,711030,149.46,2100,33,Good,,1,0,0,classification,635 AVENUE OF THE AMER,MN,,C6-2A,,0,-73.99483,40.74075
63,1081456,1017300055,909.16056,11265.43249,0.0807,1931,691709,60.4,2100,18,Good,,0,1,0,DPR,35 WEST 134 STREET,MN,C,R7-2,,0,-73.93939,40.81293
64,2113538,2032910016,3331.33043,29208.25487,0.11405,1931,306217,98.48712,2100,114,Good,,1,1,0,greenroofs.com,323 EAST 198 STREET,BX,X,R7B,,0,-73.88727,40.86823
65,1087704,1011517503,4479.26506,30171.5637,0.14846,2007,1107689,356.50847,2100,35,Good,,1,0,0,classification,555 WEST 59 STREET,MN,,C6-2,,0,-73.98913,40.7716
66,1087315,1013737503,670.84937,9379.86968,0.07152,2007,1097636,189.53566,2100,21,Good,,1,0,0,classification,415 MAIN STREET,MN,X,R7-2,,0,-73.95366,40.75831
67,1011690,1006280017,519.3566,16159.87826,0.03214,1900,159033,87.40737,2100,19,Good,,1,0,0,classification,652 HUDSON STREET,MN,P,C1-6,,0,-74.005,40.73972
68,1035732,1012890036,6957.59067,30685.1712,0.22674,1952,749412,269.43,2100,53,Good,at least some green roof,1,0,0,classification,380 PARK AVENUE,MN,P,C5-3,MID,0,-73.97294,40.75945
69,3062886,3024030001,8317.7785,37569.40677,0.2214,1920,489335,31.7494,2100,26,Good,,1,0,0,classification,285 KENT AVENUE,BK,,M3-1,,0,-73.96629,40.7151
70,1085922,1018190203,25420.68737,63467.50934,0.40053,0,420817,35.82,2100,14,Good,,1,1,0,greenroofs.com/DPR,203 RANDALLS ISLAND,MN,C,PARK,,0,-73.92309,40.79931
71,1088117,1009140036,2732.21116,34643.53424,0.07887,2002,996675,213.05,2100,22,Good,,1,0,0,classification,222 EAST 34 STREET,MN,,C1-9A,TA,0,-73.97693,40.745
72,1078025,1003820100,5869.25534,20925.0312,0.28049,1950,301255,181.94,2100,9,Good,,1,0,0,classification,162 AVENUE C,MN,P,R7-2,,0,-73.97654,40.72602
73,1090009,1013730001,932.01271,11086.3194,0.08407,,1268364,20.84166,5100,14,Good,,1,0,0,classification,40 RIVER ROAD,MN,C,R7-2,SRI,0,-73.95111,40.75948
74,1078023,1003820100,6410.3578,23147.30052,0.27694,1950,852103,18.74,2100,9,Good,,1,0,0,classification,162 AVENUE C,MN,P,R7-2,,0,-73.97673,40.7258
75,1041480,1013870062,486.18411,1612.59424,0.30149,1920,192108,53.95,2100,65,Good,,1,0,0,classification,18 EAST 73 STREET,MN,,R8B,,0,-73.96567,40.77258
76,2013546,2031490140,1914.37713,11733.77882,0.16315,1921,268147,55.73676,2100,109,Good,,1,1,0,DEP,2201 VALENTINE AVENUE,BX,X,R7-1,,0,-73.89905,40.85522
77,1087522,1007967504,1374.29334,18241.65949,0.07534,1900,184610,101.98,2100,35,Good,,1,0,0,classification,655 AVENUE OF THE AMER,MN,,C6-2A,,0,-73.99456,40.7414
78,3326039,3002530063,788.48449,1413.83079,0.55769,1900,730449,23.50496,2100,70,Good,,1,0,0,classification,82 REMSEN STREET,BK,,R6,,0,-73.99561,40.69392
